"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]","반경 5m보다 작은 수원을 만들어 볼 수 있습니다. 항상 작동하는 것은 아니지만 작동하는 반경을 더 증가 시킬 수 있습니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]","증발율","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]","유수지나 저수지를 사용하지 않는 한 기본값으로 두어야 합니다. 실제 증발 속도는 1000배 더 작지만 이를 통해 속도를 제어할 수 있습니다. 이 설정은 전 구역에 적용되며 수원의 유량을 늘린 후 균형을 재조정하고 증가시킬 수 있습니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]","계절 하천 활성화","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]","계절 하천은 하천(수정된 일정 비율 수원)을 가져와 지도의 기후 및 날씨에 연결합니다. 예를 들어, 지도에 건조한 여름이 있는 경우 이러한 수자원은 여름 동안 감소합니다. 계절별 하천은 사용자가 변경하지 않는 한 지도의 기본 수원량을 최대로 취급하므로 그 자체로 홍수를 유발해서는 안 됩니다. 모든 측면은 선택 사항이며 모드 설정에서 조정할 수 있습니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]","눈 녹음 계산","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]","눈이 쌓이는 것과 눈이 녹는 것을 시뮬레이션합니다. 눈이 녹는 것은 현재 보이지 않습니다. 이 설정은 일정한 비율의 수원, 저류지 및 저류지에 영향을 미칩니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]","상수 흐름량","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]","계절이나 날씨에 영향을 받지 않는 하천(수정된 일정 비율 수원)의 일정한 유속","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]","계절 효과","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]","계절별 평균 강수량이 가장 많은 계절에는 하천(수정된 일정 비율 수원) 유량이 이 비율만큼 증가하고 그 밖의 계절은 비례 할 것입니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]","강수량 효과","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]","현재 강수량(비)이 최대일 때 하천(수정된 일정 비율 수원) 유량은 이 비율만큼 증가할 것입니다. 적은 강수량은 비례합니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]","최소 승수","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]","하천 유량에 적용되는 최소 승수입니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]","최대 승수","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]","하천 유량에 적용되는 최대 승수입니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]","파도 및 조수 활성화","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]","이 기능은 지도 디자인에 따라 다릅니다. 바닷물 수원과 단일 해안선이 있는 지도가 가장 잘 작동합니다. 파도의 특징은 해안이 들어오고 나가도록 하고 해안선을 따라 모래를 만드는 것입니다. 해변을 만드는 더 좋은 방법은 표면 툴로 해변을 색칠하는 것입니다. 파도는 수면의 크기를 악화시킵니다. 조수는 하루에 한두 번 발생합니다. 파도와 조수는 항상 원래의 해수면보다 낮으며 홍수를 일으키지 않습니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]","파도 높이","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]","해수원이 있는 맵 경계에서 파도가 생성됩니다. 일단 생성되면 해안으로 향합니다. 지도는 반드시 이러한 파도에 맞게 설계된 것은 아니며 파도는 수면을 악화시킵니다. 파도는 원래 지도의 해수면보다 낮으므로 홍수를 일으키지 않습니다. 바다가 얕은 샌프란시스코와 같은 맵에서는 플레이할 수 없는 넓은 지역이 마른 모래로 변하는 것을 방지하기 위해 더 작은 높이의 파도와 조수가 필요합니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]","파도 빈도수","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]","하루 파도 빈도수를 설정합니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]","조수 높이","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]","조수는 가장 큰 파도이며 해안을 따라 바다가 오르락 내리락하게 만듭니다. 조수는 해안선을 따라 모래 그래픽을 추가할 수 있지만 모래는 썰물과 만조 사이 전체 시간 동안 지속되지 않을 수 있습니다. 조수는 원래 지도의 해수면보다 낮으며 홍수를 일으키지 않습니다. 바다가 얕은 샌프란시스코와 같은 맵에서는 플레이할 수 없는 넓은 지역이 마른 모래로 변하는 것을 방지하기 위해 더 작은 높이의 파도와 조수가 필요합니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]","조수 분류","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]","일주조는 하루에 한 번의 만조와 간조를 가지며 반일주조는 하루에 두 번의 만조와 간조가 있습니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]","파도 세기","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]","값이 높을수록 파도가 강해지고, 값이 낮을수록 파도가 약해집니다. 더 강한 파도가 지도 안쪽으로 더 멀리 도달합니다. 약한 파도가 해안에 도달하기 전에 분산될 수 있습니다. 바닐라는 9950 추천 9980-9999 입니다. 실제 값은 10000배 적습니다.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","물 청소 주기","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","실행하면 맵 전체의 증발속도가 짧은시간동안 1000배 증가후 정상으로 돌아옵니다. 물이 어질러진 부분을 청소하려면 위험을 감수하고 사용하세요! 목표 높이가 지면보다 낮은 호수에 물을 제거하는 더 안전한 방법입니다.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","물 청소 주기를 시작하겠습니까?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","물 도구 설정 초기화","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","승인 시 물 도구 설정이 초기화됩니다.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","물 도구 설정을 초기화하겠습니까?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","계절 하천 설정 초기화","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","승인 시 계절 하천 설정이 초기화 됩니다.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","계절 하천 설정 초기화 하시겠습니까?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","파도 및 조수 설정 초기화","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","승인시 파도 및 조수 설정이 초기화됩니다.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","파도 및 조수 설정을 초기화 하겠습니까?","","","","","","","","","","","",""
"Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Diurnal]","일주조(하루 한번)","","","","","","","","","","","",""
"Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Semidiurnal]","반일주조(하루 두번)","","","","","","","","","","","",""
"YY_WATER_FEATURES.Flow","유량","","","","","","","","","","","",""
"YY_WATER_FEATURES.Depth","깊이","","","","","","","","","","","",""
"YY_WATER_FEATURES.MaxDepth","최대 깊이","","","","","","","","","","","",""
"YY_WATER_FEATURES.Elevation","높이","","","","","","","","","","","",""
"YY_WATER_FEATURES.MinElevation","최소 높이","","","","","","","","","","","",""
"YY_WATER_FEATURES.MaxElevation","최대 높이","","","","","","","","","","","",""
"YY_WATER_FEATURES.SnowAccumulation","눈 쌓임","","","","","","","","","","","",""
"YY_WATER_FEATURES.OriginalFlow","원본 유량","","","","","","","","","","","",""
"YY_WATER_FEATURES.MinDepth","최소 깊이","","","","","","","","","","","",""
"YY_WATER_FEATURES.Radius","범위","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-down-arrow","하천의 흐름을 감소시킵니다. 강, 바다, 호수의 깊이나 고도가 증가합니다. 유수지 및 유수지의 최대 깊이가 낮아집니다.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-up-arrow","하천의 유량을 증가시킵니다. 강, 바다, 호수의 깊이나 고도가 증가합니다. 유수지 및 유수지의 최대 깊이가 증가합니다.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-down-arrow","반경 감소","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-up-arrow","반경 증가","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-down-arrow","최소 깊이 감소","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-up-arrow","최소 깊이 증가","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-rate-of-change","흐름, 깊이 및 높이에 대한 증가 및 감소 배수를 버튼으로 조절 할 수 있습니다.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-rate-of-change","반경 증가 및 감소 배수를 버튼으로 조절 할 수 있습니다.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-rate-of-change","최소 깊이에 대해 증가 및 감소 배수를 버튼으로 조절 할 수 있습니다.","","","","","","","","","","","",""
"SubServices.NAME[WaterTool]","물 도구","","","","","","","","","","","",""
"Assets.SUB_SERVICE_DESCRIPTION[WaterTool]","물 도구를 사용하면 지도에 물 공급원을 추가하고 제거할 수 있습니다.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Stream]","하천 - 상수원 또는 변동되는 상수원","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Stream]","이 모드의 설정에 따라 물을 방출합니다. 계절 하천이 비활성화되면 유량은 일정하게 유지됩니다. 계절 하천을 활성화하면 유속은 설정에 따라 계절, 강수량, 눈이 녹는 정도에 따라 달라집니다. 설정 가능한 영역 내에 배치하려면 마우스 왼쪽 버튼을 클릭하세요. 마우스를 올려 놓고 마우스 오른쪽 버튼을 클릭하면 제거됩니다.","","","","","","","","","","","",""
"Assets.NAME[WaterSource River]","강 - 국경 강 수원","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource River]","일정한 수위를 가지며 국경 안팎으로 흐르는 물을 제어합니다. 경계 근처에 있는 동안 수면은 경계에 맞춰집니다. 최대 수면 높이를 지정하려면 원하는 고도 지표면을 우클릭하세요. 반경이 테두리에 닿는 경우 좌클릭으로 배치합니다. 마우스를 올려 놓고 우클릭하면 제거됩니다.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Sea]","바다 - 국경 해 수원","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Sea]","국경으로 들어오고 나가는 물을 통제하고 가장 낮은 높이의 바다가 해수면을 통제합니다. 파도와 조수가 비활성화되면 일정한 수준이 유지됩니다. 파도와 조수가 활성화되면 해수면이 원래 해수면보다 오르거나 내려갑니다. 최대 수면 높이를 지정하려면 원하는 고도 지표면을 우클릭하세요. 반경이 테두리에 닿는 경우 좌클릭으로 배치합니다. 마우스를 올려 놓고 우클릭하면 제거됩니다.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Lake]","호수 - 일정한 수준의 수원","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Lake]","원하는 수준에 도달할 때까지 빠르게 채운 다음 해당 수준을 유지합니다. 지면보다 낮은 목표 고도가 있으면 더 빠르게 물을 배수할 수 있습니다. 최대 수면 높이를 지정하려면 원하는 고도 지표면을 우클릭하세요. 반경이 테두리에 닿는 경우 좌클릭으로 배치합니다. 마우스를 올려 놓고 우클릭하면 제거됩니다.","","","","","","","","","","","",""
"Assets.NAME[WaterSource DetentionBasin]","유수지","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource DetentionBasin]","강수량과 눈이 녹으면 상승하고 날씨가 건조하면 천천히 배수되는 맞춤형 커스텀 수원입니다. 최대 수면 높이는 있지만 최소 수면 높이는 없습니다. 최대 수면 높이를 지정하려면 원하는 고도 지표면을 우클릭하세요. 재생 가능한 영역 내에 배치하려면 좌클릭하세요. 마우스를 올려 놓고 우클릭하면 제거됩니다.","","","","","","","","","","","",""
"Assets.NAME[WaterSource RetentionBasin]","저수지","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource RetentionBasin]","강수량과 눈이 녹으면 상승하고 날씨가 건조하면 천천히 배수되는 맞춤형 커스텀 수원입니다. 이 수원은 최대 수면 높이와 최소 수면 높이를 가지고 있습니다. 최대 수면 높이를 지정하려면 원하는 고도 지표면을 우클릭하세요. 재생 가능한 영역 내에 배치하려면 좌클릭하세요. 마우스를 올려 놓고 우클릭하면 제거됩니다.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.PlaceNearBorder]","강은 지도 경계 근처에 배치되어야 합니다.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.RadiusTooSmall]","반경이 너무 작아서 자동으로 증가되었습니다.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.RemoveWaterSource]","수원을 제거하려면 우클릭 하십시오.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.PlaceInsideBorder]","이 수원은 플레이 가능한 맵 내부에 배치되어야 합니다.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.MustTouchBorder]","바다 해수 공급원은 지도 경계에 닿아야 합니다.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.LockElevation]","수면 높이를 지정하려면 우클릭 하십시오.","","","","","","","","","","","",""
"Options.GROUP:Experimental","실험 기능","","","","","","","","","","","",""
"Options.GROUP:Stable","일반","","","","","","","","","","","",""
"Options.OPTION:Fluidness","유동성","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:Fluidness","물 시스템의 유동성 계수를 변경합니다. 이것이 무엇을 하는지 봅시다.","","","","","","","","","","","",""
"Editor.TOOL[Yenyang's Water Tool]","Yenyang의 물 도구","","","","","","","","","","","",""
"Options.OPTION:WaterToolSettingsAffectEditorSimulation","물 도구 설정은 에디터 시뮬레이션에 영향을 줍니다","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:WaterToolSettingsAffectEditorSimulation","물 도구탭의 설정이 증발, 유동성 및 물 청소 주기와 같은 에디터 시뮬레이션에 영향을 미칠 수 있습니다.","","","","","","","","","","","",""
"Options.OPTION:SeasonalStreamsAffectEditorSimulation","계절 하천 설정이 에디터 시뮬레이션에 영향을 미침","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:SeasonalStreamsAffectEditorSimulation","계절 하천 탭의 설정이 에디터 시뮬레이션에 영향을 미치고 하천 유량을 변경할 수 있습니다.","","","","","","","","","","","",""
"Options.OPTION:WavesAndTidesAffectEditorSimulation","파도와 조수 설정이 에디터 시뮬레이션에 영향을 미침","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:WavesAndTidesAffectEditorSimulation","파도와 조수 탭의 설정이 해수면을 진동시키고 감쇠 값을 변경하여 에디터 시뮬레이션에 영향을 줄 수 있습니다.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.ElevationChange","물 도구는 기존 수원 위로 마우스를 가져간 후 마우스 왼쪽 버튼을 누르고 드래그한 후 새 고도에서 놓아 기존 수원의 목표 높이를 변경합니다. 일반적으로 드래그하면 상승하고 드래그하면 낮아지지만 실제로는 원하는 높이에서 놓는 것뿐입니다. 신뢰성을 위해 커서를 재생 가능한 영역 내에 유지하십시오. 취소하려면 마우스 오른쪽 버튼을 클릭하세요.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.PlaceWaterSource","물 도구는 왼쪽 클릭으로 물원을 배치하고, 오른쪽 클릭으로 물원을 제거합니다.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.MoveWaterSource","물 도구는 기존 수원을 이동합니다. 기존 수원의 목표 고도는 변경되지 않습니다. 취소하려면 마우스 오른쪽 버튼을 클릭하세요.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.RadiusChange","물 도구는 수원의 반경을 변경합니다. 취소하려면 마우스 오른쪽 버튼을 클릭하세요.","","","","","","","","","","","",""
"YY_WATER_FEATURES.ElevationChange","높이 변경","","","","","","","","","","","",""
"YY_WATER_FEATURES.PlaceWaterSource","수원 배치","","","","","","","","","","","",""
"YY_WATER_FEATURES.MoveWaterSource","수원 이동","","","","","","","","","","","",""
"YY_WATER_FEATURES.RadiusChange","반경 변경","","","","","","","","","","","",""
