"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]","A vazão do riacho (Fontes de Água da Taxa Constante Modificadas) aumentará nesta porcentagem quando a precipitação atual (chuva) estiver no máximo. Menos precipitação é proporcional.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]","Multiplicador Mínimo","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]","Multiplicador mínimo aplicado às taxas de fluxo.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]","Multiplicador máximo","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]","Multiplicador mínimo aplicado às taxas de fluxo.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]","Habilitar ondas e marés","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]","Este recurso depende do design do mapa. Mapas com uma fonte de água do mar e uma única linha costeira funcionam melhor. O ponto do recurso das ondas é fazer com que a costa se mova para dentro e para fora e faça areia ao longo da costa. A melhor maneira de fazer praias é simplesmente pintá-las com um pintor de superfície. As ondas agravam a magnitude da superfície da água. As marés acontecem uma ou duas vezes por dia. As ondas e marés são sempre inferiores ao nível original do mar e não causam inundações.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]","Altura da onda","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]","As ondas são geradas no limite do mapa onde existe uma fonte de água do mar. Uma vez gerados, eles seguem em direção à costa. Os mapas não foram necessariamente feitos para estas ondas, e as ondas agravam a superfície da água. As ondas estão abaixo do nível do mar no mapa original e não causam inundações. Mapas como o de São Francisco, com mar raso, precisarão de ondas e marés com alturas menores para evitar que grandes áreas de área não jogável se transformem em areia seca.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]","Frequência das ondas","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]","Frequência para ondas por dia.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]","Altura da Maré","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]","As marés são as maiores ondas e fazem com que o mar suba e desça ao longo da costa. As marés podem adicionar gráficos arenosos ao longo da costa, mas a areia pode não persistir durante todo o tempo entre a maré baixa e a maré alta. As marés são inferiores ao nível do mar no mapa original e não causam inundações. Mapas como o de São Francisco, com mar raso, precisarão de ondas e marés com alturas menores para evitar que grandes áreas de área não jogável se transformem em areia seca.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]","Classificação da Maré","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]","As marés diurnas têm uma ponta alta e uma baixa por dia. Semidiurnas tem duas marés elevadas e duas marés baixas por dia.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]","Umidificação","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]","Um valor mais alto torna as ondas mais fortes enquanto um valor mais baixo torna as ondas mais fracas. Ondas mais fortes chegam mais longe no mapa. Ondas fracas podem dispersar-se antes de chegar à costa. Vanilla/Padrão é 9950 recomendado 9980-9999. O valor real é 10000x menos.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","Ciclo de limpeza d'água","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","Isto irá aumentar a taxa de evaporação em 1000x para o TODO O MAPA por um curto período de tempo, antes de voltar ao normal. Pode ser usado para limpar a bagunça feita pela água, mas PROSSIGA POR SUA CONTA E RISCO! Lagos com uma elevação alvo abaixo do nível do solo são uma maneira mais segura de remover a água.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","Iniciar o ciclo de limpeza da água?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","Redefinir as configurações de ferramenta de água","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","Ao confirmar, redefine as Configurações da Ferramenta de Água.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","Redefinir configurações da Ferramenta de Água?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","Redefinir Configurações de Fluxos Sazonais","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","Ao confirmar, redefine as Configurações de Fluxos Sazonais.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","Redefinir Configurações de Fluxos Sazonais?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","Redefinir configurações de ondas e marés","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","Ao confirmar, redefine as configurações de ondas e marés.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","Redefinir configurações de ondas e marés?","","","","","","","","","","","",""
"Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Diurnal]","Diurno","","","","","","","","","","","",""
"Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Semidiurnal]","Semidiurno","","","","","","","","","","","",""
"YY_WATER_FEATURES.Flow","Fluxo","","","","","","","","","","","",""
"YY_WATER_FEATURES.Depth","Profundidade","","","","","","","","","","","",""
"YY_WATER_FEATURES.MaxDepth","Profundidade máxima","","","","","","","","","","","",""
"YY_WATER_FEATURES.Elevation","Elevação","","","","","","","","","","","",""
"YY_WATER_FEATURES.MinElevation","Elevação mínima","","","","","","","","","","","",""
"YY_WATER_FEATURES.MaxElevation","Elevação máxima","","","","","","","","","","","",""
"YY_WATER_FEATURES.SnowAccumulation","Acumulação de Neve","","","","","","","","","","","",""
"YY_WATER_FEATURES.OriginalFlow","Fluxo Original","","","","","","","","","","","",""
"YY_WATER_FEATURES.MinDepth","Profundidade mínima","","","","","","","","","","","",""
"YY_WATER_FEATURES.Radius","Raio","","","","","","","","","","","",""
"YY_WATER_FEATURES.amount-down-arrow","Reduzir fluxo/profundidade/elevação","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-down-arrow","Reduz o fluxo para riachos. Diminuindo a profundidade ou elevação de rios, mares, lagos e a profundidade máxima para bacias de retenção e detenção.","","","","","","","","","","","",""
"YY_WATER_FEATURES.amount-up-arrow","Aumentar fluxo/profundidade/elevação","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-up-arrow","Aumenta o fluxo para riachos. Aumentando a profundidade ou elevação de rios, mares e lagos e também a profundidade máxima para bacias de retenção e detenção.","","","","","","","","","","","",""
"YY_WATER_FEATURES.radius-down-arrow","Reduzir Raio","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-down-arrow","Reduz o raio.","","","","","","","","","","","",""
"YY_WATER_FEATURES.radius-up-arrow","Aumentar o Raio","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-up-arrow","Aumenta o raio.","","","","","","","","","","","",""
"YY_WATER_FEATURES.min-depth-down-arrow","Reduzir profundidade mínima","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-down-arrow","Reduz a profundidade mínima.","","","","","","","","","","","",""
"YY_WATER_FEATURES.min-depth-up-arrow","Aumentar profundidade mínima","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-up-arrow","Aumenta a profundidade mínima.","","","","","","","","","","","",""
"YY_WATER_FEATURES.amount-rate-of-change","Fluxo/Profundidade/Taxa de mudança de elevação","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-rate-of-change","Altera a taxa em que os botões de aumento e redução funcionam para Fluxo, Profundidade e Elevação.","","","","","","","","","","","",""
"YY_WATER_FEATURES.radius-rate-of-change","Taxa de variação do raio","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-rate-of-change","Altera a taxa em que os botões de aumento e redução funcionam para o Raio.","","","","","","","","","","","",""
"YY_WATER_FEATURES.min-depth-rate-of-change","Taxa mínima de alteração da profundidade","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-rate-of-change","Altera a taxa na qual os botões de aumento e redução funcionam para a profundidade mínima.","","","","","","","","","","","",""
"SubServices.NAME[WaterTool]","Ferramenta de Água","","","","","","","","","","","",""
"Assets.SUB_SERVICE_DESCRIPTION[WaterTool]","A Ferramenta de Água permite que você adicione e remova as fontes de água do seu mapa.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Stream]","Fluxo - Fonte de Água Constante ou Variável","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Stream]","Emite água dependendo das configurações do mod. Com os fluxos sazonais desativados, a taxa de fluxo será constante. Sendo ativado, a taxa de fluxo variará com a Estação, chuvas e o degelo, dependendo de suas configurações. Clique com o botão esquerdo para colocar dentro da área jogável. Passe o mouse sobre e clique com o botão direito para remover.","","","","","","","","","","","",""
"Assets.NAME[WaterSource River]","Rio - Fonte de Água Fluvial","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource River]","Tem um nível constante e controla água fluindo dentro ou fora da fronteira. Enquanto perto da fronteira, a fonte vai se ajustar à fronteira. Clique direito para designar a elevação alvo. Clique com o botão esquerdo para colocar. Passe o mouse por cima e clique com o botão direito para remover.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Sea]","Mar - Fonte de Água Marinha","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Sea]","Controla a água fluindo dentro ou fora da borda e controla áreas mais baixas do nível do mar. Com as Ondas e Máres desativadas, eles vão manter um nível constante. Com ele ativo, o nível do mar sobe e desce abaixo do nível original do mar. Clique com o botão direito para marcar a elevação. Clique com o botão esquerdo para colocar se o raio toca uma das bordas. Passe o mouse sobre e clique com o direito para remover.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Lake]","Lago - Fonte de Água de Nível Constante","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Lake]","Preenche rapidamente até chegar ao nível desejado e depois mantém esse nível. Se tem uma elevação alvo abaixo do nível do solo, pode drenar a água mais rapidamente do que a evaporação. Clique direito para designar a elevação alvo. Clique com o botão esquerdo para colocar dentro da área jogável. Passe o mouse sobre e clique com o botão direito para remover.","","","","","","","","","","","",""
"Assets.NAME[WaterSource DetentionBasin]","Bacia de Retenção","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource DetentionBasin]","Fonte de água customizada que sobe com precipitação e degelo e que drena lentamente quando o tempo está seco. Têm uma elevação máxima da superfície de água, mas não têm uma elevação mínima da superfície de água. Clique com botão direito para designar a elevação máxima. Clique com o botão esquerdo para colocar dentro da área jogável. Passe o mouse e clique com o botão direito para remover.","","","","","","","","","","","",""
"Assets.NAME[WaterSource RetentionBasin]","Bacia de Retenção","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource RetentionBasin]","Fonte de água customizada que sobe com precipitação e degelo e que drena lentamente quando o tempo está seco. Têm uma elevação máxima da superfície de água, mas não têm uma elevação mínima da superfície de água. Clique com botão direito para designar a elevação máxima. Clique com o botão esquerdo para colocar dentro da área jogável. Passe o mouse e clique com o botão direito para remover.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.PlaceNearBorder]","Os rios têm de estar próximos da fronteira do mapa.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.RadiusTooSmall]","O raio é pequeno demais e foi automaticamente aumentado.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.RemoveWaterSource]","Clique com o botão direito para remover a fonte de água.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.PlaceInsideBorder]","Esta fonte de água deve ser colocada dentro da área disponível.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.MustTouchBorder]","As fontes de água do mar devem tocar a fronteira do mapa.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.LockElevation]","Clique com botão direito do mouse para designar a altura da superfície de água.","","","","","","","","","","","",""
