key	de-DE	en-US	es-ES	fr-FR	it-IT	ja-JP	ko-KR	pl-PL	pt-BR	ru-RU	zh-HANS	zh-HANT	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeDetentionBasins]	Individuell angepasste Wasserquelle, die mit Niederschlag und Schneeschmelze aufsteigt und langsam abfließt, wenn das Wetter trocken ist. Sie haben eine maximale Wasseroberflächenhöhe aber keine minimale Wasseroberfläche. Möglicherweise müssen Sie die globale Verdunstungsrate in den Einstellungen für wünschenswerte Infiltration des Teichwassers anpassen.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Fuente de agua modificado que se levanta con precisión y nieve y lentamente drena cuando el clima está seco. Tienen una elevación máxima de la superficie del agua y una elevación mínima de la superficie del agua. Es posible que necesite ajustar la tasa global de evaporación en los ajustes para la infiltración deseable del agua del estanque.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Niestandardowe, źródło wody, które podnosi się wraz z opadami atmosferycznymi oraz topnieniem śniegu i maleje, gdy jest sucho. Mają maksymalny poziom wody, ale nie mają minimalnego poziomu wody. Może być konieczne dostosowanie globalnej szybkości parowania wody w ustawieniach w celu uzyskania pożądanego napływu wody do zbiornika.	Fonte de água modificada que sobe com precipitação e degelo, e drena lentamente quando o tempo está seco. Têm uma elevação máxima da superfície de água, mas não tem uma elevação mínima da superfície de água. Poderá ser necessário ajustar a taxa de evaporação global nas configurações para um nível adequado da lagoa.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]	Kleineren Radius probieren	Try Smaller Radii	Probar radios más pequeños	Try Smaller Radii	Try Smaller Radii	Try Smaller Radii	Try Smaller Radii	Wypróbuj mniejszy promień	Tente uma área menor	Try Smaller Radii	Try Smaller Radii	Try Smaller Radii	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]	Lässt dich versuchen, eine Wasserquelle mit einem Radius kleiner als 5 m zu erstellen. Es wird nicht immer funktionieren, sondern auf einen funktionierenden Radius ausgeweitet werden.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Permite tratar de hacer una fuente de agua con un radio menor de 5 metros. No siempre funcionará, sino que aumentará a un radio que funcione.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Pozwala na tworzenie źródeł wody o promieniu mniejszym niż 5 m. Nie zawsze będzie działać, ale zostanie zwiększone do promienia, który działa.	Permite fazer uma fonte de água com um raio menor que 5 metros. Nem sempre funcionará, mas será aumentada para um raio que funcione.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]	Verdunstungsrate	Evaporation Rate	Tasa de evaporación	Evaporation Rate	Evaporation Rate	Evaporation Rate	Evaporation Rate	Szybkość wchłaniania wody	Taxa de Evaporação	Evaporation Rate	Evaporation Rate	Evaporation Rate	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]	Sollte wahrscheinlich bei den Standardeinstellungen bleiben, es sei denn, Sie benutzen ein Regen- oder Hochwasserrückhaltebecken. Die tatsächliche Verdampfungsrate ist 1000x geringer, dies gibt ihnen jedoch mehr Kontrolle über die Rate. Dies ist global und sie müssen gegeben falls die Wasserrate an Wasserquellen anpassen.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Probablemente deberías dejarlo por defecto a menos que esté usando las cuencas de detención o retención. La tasa de evaporación real es de 1000 veces más pequeña, pero esto le da control sobre la tasa. Esto es global y puede que desee reequilibrar e incrementar los flujos de fuentes de agua después de aumentarlo.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Powinieneś zostawić domyślne ustawienie, chyba że używasz zbiorników retencyjnych lub polderów przeciwpowodziowych. Rzeczywista szybkość wchłaniania jest 1000 razy niższa, ale daje to większą kontrolę nad szybkością. Ma charakter globalny i możesz chcieć zrównoważyć i zwiększyć potencjał źródeł wody, po zwiększeniu tej opcji.	Deixe o padrão, a menos que você esteja utilizando as bacias de retenção ou detenção. A taxa real de evaporação é 1000x menor, mas isso lhe dá controle sobre a taxa. Essa é uma configuração global e você pode querer reequilibrar e aumentar os fluxos de fontes de água após o seu aumento.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]	Saisonale Wasserflüsse aktivieren	Enable Seasonal Streams	Habilitar corrientes estacionales	Enable Seasonal Streams	Enable Seasonal Streams	Enable Seasonal Streams	Enable Seasonal Streams	Włącz strumienie sezonowe	Ativar Fluxos Sazonais	Enable Seasonal Streams	Enable Seasonal Streams	Enable Seasonal Streams	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]	Saisonale Wasserflüsse nimmt Flüsse (modifizierte Wasserquellen mit konstanter Rate) und bindet sie an das Klima und das Wetter für die Karte. Wenn Ihre Karte zum Beispiel einen trockenen Sommer hat, werden diese Wasserquellen im Sommer abnehmen. Saisonale Bäche selbst sollten keine Überschwemmungen verursachen, da die Standardwassermenge der Karte als Höchstwert behandelt wird, sofern Sie sie nicht ändern. Alle Aspekte sind optional und können in den Einstellungen des Mods angepasst werden.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Las corrientes estacionales tomanfuentes de agua con frecuencia modificadas y los vinculan al clima y al tiempo para el mapa. Por ejemplo, si el mapa presenta un verano seco, estas fuentes de agua disminuirán durante el verano. Las corrientes estacionales por sí solas no deberían causar inundaciones, ya que trata la cantidad predeterminada de la fuente de agua del mapa como un máximo a menos que la cambie. Todos los aspectos son opcionales y ajustables en los ajustes del mod.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Strumienie sezonowe obejmują strumienie (zmodyfikowane źródła wody o stałym przepływie) i wiążą je z klimatem oraz pogodą na mapie. Np., jeśli twoja mapa zawiera suche lato, to w lecie ilość wody będzie się zmniejszała. Strumienie sezonowe same w sobie nie powinny powodować powodzi, ponieważ domyślna ilość wody w źródle na mapie jest traktowana jako maksymalna, chyba że ją zmienisz. Wszystkie aspekty są opcjonalne i można je regulować w ustawieniach moda.	Fluxos sazonais pegam riachos (Fontes de Água de Taxa Constante Modificadas) e os juntam as estações e clima do mapa. Por exemplo, se o seu mapa apresentar um verão seco, essas fontes de água irão diminuir durante o verão. Fluxos sazonais por conta própria não devem causar inundação uma vez que trata a quantidade de água padrão do mapa como um máximo, a menos que você a altere. Todos os aspectos são opcionais e ajustáveis nas configurações do mod.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]	Schneeschmelze simulieren	Simulate Snow Melt	Simular deshielo	Simulate Snow Melt	Simulate Snow Melt	Simulate Snow Melt	Simulate Snow Melt	Symuluj topnienie śniegu	Simular degelo	Simulate Snow Melt	Simulate Snow Melt	Simulate Snow Melt	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]	Simulieren Sie Schneeansammlung und Schneeschmelze. Die Schneeschmelze ist derzeit nicht an die Schneedarstellung gekoppelt. Dies betrifft Wasserquellen mit konstantem Durchfluss sowie Regen- und Hochwasserrückhaltebecken.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simula la acumulación de nieve y el deshielo. El deshielo no está actualmente vinculado a los visuales de la nieve. Esto afecta a las fuentes de agua de tasa de constancia, las cuencas de detención y retención.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Symuluj gromadzenie się i topnienie śniegu. Topnienie śniegu nie jest związane obecnie z efektami wizualnymi. Ma to wpływ na źródła wody o stałym przepływie, zbiorniki retencyjnych i poldery przeciwpowodziowe.	Simula a acumulação de neve e os degelos. Os degelos não estão atualmente ligados ao visual da neve. Isso afeta as fontes de água constante e as bacias de retenção e detenção.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]	Konstante Durchflussrate	Constant Flow Rate	Tasa de flujo constante	Constant Flow Rate	Constant Flow Rate	Constant Flow Rate	Constant Flow Rate	Stały potencjał przepływu wody	Taxa de fluxo constante	Constant Flow Rate	Constant Flow Rate	Constant Flow Rate	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]	Konstante Durchflussrate von Wasserflüssen (Modifizierte Wasserquellen mit konstanten Wasserflüssen) unabhängig von Saison oder Wetter.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Tasa de flujo constante desde las corrientes (fuentes de agua de tasa de constante modificada) no afectada por la temporada o el clima.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Stały potencjał przepływu wody ze strumieni (zmodyfikowane źródła wody o stałym przepływie)  bez wpływu pór roku lub pogody.	Vazão constante do riacho (fontes de água da taxa constante modificadas) não afetadas pela estação ou pelo clima.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]	Saisonalität	Seasonality	Temporada	Seasonality	Seasonality	Seasonality	Seasonality	Sezonowość	Temporada	Seasonality	Seasonality	Seasonality	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]	Die Wasserlaufrate der Bäche (modifizierte konstante Wasserquellen) werden in der Jahreszeit mit dem höchsten mittleren saisonalen Niederschlag um diesen Prozentsatz erhöht. Die anderen Jahreszeiten werden proportional sein.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Los flujos de corriente (fuentes de agua de tasa de constante modificadas) se incrementarán en este porcentaje durante la temporada con la precipitación estacional media más alta. Otras temporadas serán proporcionales.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Potencjał przepływu wody strumieni (zmodyfikowane źródła wody o stałym przepływie) wzrośnie o ten procent w porze roku z najwyższymi średnimi opadami sezonowymi. Pozostałe pory roku będą proporcjonalne.	A vazão do riacho (Fontes de Água da Taxa Constante Modificadas) aumentará nesta porcentagem durante a estação com a precipitação sazonal mais alta. Outras estações serão proporcionais.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]	Sturmwassereffekte	Stormwater Effects	Efectos de aguas tormentosas	Stormwater Effects	Stormwater Effects	Stormwater Effects	Stormwater Effects	Efekt opadów deszczu	Efeitos de Águas pluviais	Stormwater Effects	Stormwater Effects	Stormwater Effects	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]	Die Wasserlaufrate der Bäche (modifizierte konstante Wasserquellen) werden um diesen Prozentsatz steigen, wenn die aktuelle Niederschlagsmenge (Regen) maximal ist. Weniger Niederschlag ist verhältnismäßig.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Los flujos de corrientes (fuentes de agua de tasa de constante modificadas) se incrementarán en este porcentaje cuando la precipitación (lluvia) esté en un máximo. Menos precisión es proporcional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Potencjał przepływu wody strumieni (zmodyfikowane źródła wody o stałym przepływie) wzrośnie o ten procent, gdy opady (deszcz) są maksymalne. Mniejsze opady są proporcjonalne.	A vazão do riacho (Fontes de Água da Taxa Constante Modificadas) aumentará nesta porcentagem quando a precipitação atual (chuva) estiver no máximo. Menos precipitação é proporcional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]	Minimaler Multiplikator	Minimum Multiplier	Multiplicador Mínimo	Minimum Multiplier	Minimum Multiplier	Minimum Multiplier	Minimum Multiplier	Minimalny mnożnik	Multiplicador Mínimo	Minimum Multiplier	Minimum Multiplier	Minimum Multiplier	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]	Minimaler Multiplikator für Bachflussraten.	Minimum multiplier applied to stream flowrates.	Multiplicador mínimo aplicado a las tasas de flujo de agua.	Minimum multiplier applied to stream flowrates.	Minimum multiplier applied to stream flowrates.	Minimum multiplier applied to stream flowrates.	Minimum multiplier applied to stream flowrates.	Minimalny mnożnik jest stosowany do potencjału przepływu wody strumieni.	Multiplicador mínimo aplicado às taxas de fluxo.	Minimum multiplier applied to stream flowrates.	Minimum multiplier applied to stream flowrates.	Minimum multiplier applied to stream flowrates.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]	Maximaler Multiplikator	Maximum Multiplier	Multiplicador máximo	Maximum Multiplier	Maximum Multiplier	Maximum Multiplier	Maximum Multiplier	Maksymalny mnożnik	Multiplicador máximo	Maximum Multiplier	Maximum Multiplier	Maximum Multiplier	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]	Maximaler Multiplikator für Bachflussraten.	Maximum multiplier applied to stream flowrates.	Multiplicador máximo aplicado a las tasas de flujo de agua.	Maximum multiplier applied to stream flowrates.	Maximum multiplier applied to stream flowrates.	Maximum multiplier applied to stream flowrates.	Maximum multiplier applied to stream flowrates.	Maksymalny mnożnik jest stosowany do potencjału przepływu wody strumieni.	Multiplicador mínimo aplicado às taxas de fluxo.	Maximum multiplier applied to stream flowrates.	Maximum multiplier applied to stream flowrates.	Maximum multiplier applied to stream flowrates.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]	Wellen und Gezeiten aktivieren	Enable Waves and Tides	Habilitar olas y mareas	Enable Waves and Tides	Enable Waves and Tides	Enable Waves and Tides	Enable Waves and Tides	Włącz fale i pływy	Habilitar ondas e marés	Enable Waves and Tides	Enable Waves and Tides	Enable Waves and Tides	
