"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]","應用於溪流流量的最小乘數。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]","最大乘數","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]","應用於溪流流量的最大乘數。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]","啟用波浪和潮汐","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]","此功能依賴於地圖設計。具有海水源和單一海岸線的地圖效果最好。波浪功能的目的是使海岸線進出，並沿著海岸線形成沙子。更好的製作海灘的方法是直接用表面畫筆繪製它們。波浪加劇了水面的幅度。潮汐一天發生一到兩次。波浪和潮汐總是低於原始海平面，不會造成洪水。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]","波浪高度","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]","波浪在有海水源的地圖邊界生成。一旦生成，它們將朝岸邊前進。地圖不一定是為這些波浪設計的，波浪加劇了水面的波動。波浪低於原始地圖的海平面，不會造成洪水。像舊金山這樣的淺海地圖需要高度較小的波浪和潮汐，以避免大面積的不可遊玩區域變成乾燥的沙灘。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]","波浪頻率","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]","每天的波浪頻率。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]","潮汐高度","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]","潮汐是最大的波浪，使海水在岸邊上升和下降。潮汐可以在海岸線上新增沙灘效果，但沙子可能不會持續整個低潮和高潮之間的時間。潮汐低於原始地圖的海平面，不會造成洪水。像舊金山這樣的淺海地圖需要高度較小的波浪和潮汐，以避免大面積的不可遊玩區域變成乾燥的沙灘。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]","潮汐分類","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]","全日潮每天有一次高潮和一次低潮。半日潮每天有兩次高潮和兩次低潮。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]","阻尼","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]","較高的值使波浪更強，而較低的值使波浪更弱。更強的波浪可以到達地圖更遠處。弱波浪可能在到達岸邊前消散。原版為9950，建議值為9980-9999。實際值小10000倍。","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","清除水循環","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","這將使整個地圖的蒸發率在短時間內增加1000倍，然後恢復正常。用於清理水漬，但使用風險自負！目標海拔低於地面的湖泊是更安全的排水方式。","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","開始清除水循環?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","重置工具設置","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","再次確認，即將清除工具設置。","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","重置水工具設置?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","重置季節性溪流設置","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","確認後，重置季節性溪流設置。","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","重置季節性溪流設置?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","重置波浪和潮汐設置","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","確認後，重置波浪和潮汐設置。","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","重置波浪和潮汐設置?","","","","","","","","","","","",""
"Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Diurnal]","全日潮","","","","","","","","","","","",""
"Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Semidiurnal]","半日潮","","","","","","","","","","","",""
"YY_WATER_FEATURES.Flow","流量","","","","","","","","","","","",""
"YY_WATER_FEATURES.Depth","深度","","","","","","","","","","","",""
"YY_WATER_FEATURES.MaxDepth","最大深度","","","","","","","","","","","",""
"YY_WATER_FEATURES.Elevation","海拔","","","","","","","","","","","",""
"YY_WATER_FEATURES.MinElevation","最低海拔","","","","","","","","","","","",""
"YY_WATER_FEATURES.MaxElevation","最高海拔","","","","","","","","","","","",""
"YY_WATER_FEATURES.SnowAccumulation","積雪","","","","","","","","","","","",""
"YY_WATER_FEATURES.OriginalFlow","原始流量","","","","","","","","","","","",""
"YY_WATER_FEATURES.MinDepth","最低深度","","","","","","","","","","","",""
"YY_WATER_FEATURES.Radius","半徑","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-down-arrow","減少溪流的流量。減少河流、海洋和湖泊的深度或海拔。減少滯留盆地和滯洪池的最大深度。","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-up-arrow","增加溪流的流量。增加河流、海洋和湖泊的深度或海拔。增加滯留盆地和滯洪池的最大深度。","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-down-arrow","減少半徑。","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-up-arrow","增加半徑。","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-down-arrow","減少最小深度。","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-up-arrow","增加最小深度。","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-rate-of-change","更改增加和減少按鈕在流量、深度和海拔上工作的速率。","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-rate-of-change","更改增加和減少按鈕在半徑上工作的速率。","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-rate-of-change","更改增加和減少按鈕在最小深度上工作的速率。","","","","","","","","","","","",""
"SubServices.NAME[WaterTool]","水工具","","","","","","","","","","","",""
"Assets.SUB_SERVICE_DESCRIPTION[WaterTool]","水工具允許您在地圖上新增和移除水源。","","","","","","","","","","","",""
"Assets.NAME[WaterSource Stream]","溪流 - 恆定或可變速率水源","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Stream]","根據此模組的設置排放水。在禁用季節性溪流時，流速將保持恆定。在啟用季節性溪流時，流速將隨季節、降水和融雪變化。左鍵點擊放置在可玩區域內。懸停並右鍵點擊以移除。","","","","","","","","","","","",""
"Assets.NAME[WaterSource River]","河流 - 邊界河流水源","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource River]","具有恆定水位，控制流入或流出邊界的水。靠近邊界時，水源將貼合邊界。右鍵點擊指定目標海拔。左鍵點擊放置。懸停並右鍵點擊以移除。","","","","","","","","","","","",""
"Assets.NAME[WaterSource Sea]","海洋 - 邊界海洋水源","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Sea]","控制流入或流出邊界的水，最低海洋控制海平面。禁用波浪和潮汐時，它將保持恆定水位。啟用波浪和潮汐時，海平面在原始海平面以下升降。右鍵點擊指定海拔。如果半徑觸及邊界，左鍵點擊放置。懸停並右鍵點擊以移除。","","","","","","","","","","","",""
"Assets.NAME[WaterSource Lake]","湖泊 - 恆定水位水源","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Lake]","快速充滿水直到達到所需水位，然後保持該水位。如果其目標海拔低於地面，排水速度可以超過蒸發速度。右鍵點擊指定目標海拔。左鍵點擊放置在可玩區域內。懸停並右鍵點擊以移除。","","","","","","","","","","","",""
"Assets.NAME[WaterSource DetentionBasin]","滯洪池","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource DetentionBasin]","自訂模組水源，隨降水和融雪上升，天氣乾燥時慢慢排水。它們有最大水面高度，但沒有最小水面高度。右鍵點擊指定最大海拔。左鍵點擊放置在可玩區域內。懸停並右鍵點擊以移除。","","","","","","","","","","","",""
"Assets.NAME[WaterSource RetentionBasin]","滯留盆地","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource RetentionBasin]","自訂模組水源，隨降水和融雪上升，天氣乾燥時慢慢排水。它們有最大水面高度和最小水面高度。右鍵點擊指定最大海拔。左鍵點擊放置在可玩區域內。懸停並右鍵點擊以移除。","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.PlaceNearBorder]","河流必須放置在地圖邊界附近。","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.RadiusTooSmall]","半徑太小，已自動增加。","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.RemoveWaterSource]","滑鼠右鍵刪除水資源","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.PlaceInsideBorder]","此水源必須放置在可玩地圖內。","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.MustTouchBorder]","海水源必須觸及地圖邊界。","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.LockElevation]","右鍵點擊指定水面高度。","","","","","","","","","","","",""
"Options.GROUP:Experimental","實驗性","","","","","","","","","","","",""
"Options.GROUP:Stable","穩定","","","","","","","","","","","",""
"Options.OPTION:Fluidness","流體性","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:Fluidness","改變水系統的流體性因子，應該會改變流動特性。這可以產生小波浪、導致洪水或造成水系統中的不穩定性和尖峰。","","","","","","","","","","","",""
"Editor.TOOL[Yenyang's Water Tool]","Yenyang的水工具","","","","","","","","","","","",""
"Options.OPTION:WaterToolSettingsAffectEditorSimulation","水工具設置影響編輯器模擬","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:WaterToolSettingsAffectEditorSimulation","允許水工具選項卡中的設置影響編輯器模擬，如蒸發、流體性和水清理循環。","","","","","","","","","","","",""
"Options.OPTION:SeasonalStreamsAffectEditorSimulation","季節性溪流設置影響編輯器模擬","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:SeasonalStreamsAffectEditorSimulation","允許季節性溪流選項卡中的設置影響編輯器模擬並改變溪流流速。","","","","","","","","","","","",""
"Options.OPTION:WavesAndTidesAffectEditorSimulation","波浪和潮汐設置影響編輯器模擬","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:WavesAndTidesAffectEditorSimulation","允許波浪和潮汐選項卡中的設置通過振盪海平面和改變阻尼值來影響編輯器模擬。","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.ElevationChange","水工具將通過懸停在現有水源上、左鍵點擊、按住、拖動並在新海拔處釋放來改變現有水源的目標海拔。通常拖出來會升高，拖進去會降低，但實際上只是釋放在所需的海拔。為了可靠性，將游標保持在可玩區域內。右鍵點擊取消。","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.PlaceWaterSource","水工具將使用左鍵點擊放置水源，使用右鍵點擊移除水源。","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.MoveWaterSource","水工具將移動現有的水源。現有水源的目標海拔不會改變。右鍵點擊取消。","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.RadiusChange","水工具將改變水源的半徑。右鍵點擊取消。","","","","","","","","","","","",""
"YY_WATER_FEATURES.ElevationChange","海拔變化","","","","","","","","","","","",""
"YY_WATER_FEATURES.PlaceWaterSource","放置水源","","","","","","","","","","","",""
"YY_WATER_FEATURES.MoveWaterSource","移動水源","","","","","","","","","","","",""
"YY_WATER_FEATURES.RadiusChange","改變半徑","","","","","","","","","","","",""
