"Options.SECTION[Water_Features.Water_Features.WaterFeaturesMod]","Water Features","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]","Постоянная скорость потока воды из Потоков (модифицированных источников воды с постоянной скоростью потока) не зависит от времени года или погодных условий.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]","Сезонность","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]","Потоки (модифицированные источники воды с постоянной скоростью потока) увеличивают расход воды на этот процент в течение сезона с наибольшим средним сезонным количеством осадков. В другие сезоны количество осадков будет пропорциональным.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]","Воздействие ливневой воды","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]","Потоки (модифицированные источники воды с постоянной скоростью потока) увеличивают расход воды на этот процент при максимальном количестве осадков (дождя). Пропорционально уменьшению количества осадков.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]","Минимальный множитель","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]","Минимальный множитель, применяемый к скорости потока.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]","Максимальный множитель","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]","Максимальный множитель, применяемый к скорости потока.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]","Включить волны и приливы","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]","Эта функция зависит от дизайна карты. Лучше всего подходят карты с источником морской воды и одной береговой линией. Функция волн предназначена для того, чтобы заставить берег двигаться вперед и назад и создать песок вдоль береговой линии. Лучший способ обустроить пляжи - это просто покрасить их с помощью инструмента для поверхностей. Волны увеличивают площадь водной поверхности. Приливы случаются один или два раза в день. Волны и приливы всегда ниже первоначального уровня моря и не вызывают наводнений.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]","Высота волны","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]","Волны генерируются на границе карты, где находится источник морской воды. После создания они направляются к берегу. Карты не обязательно разрабатывались с учетом этих волн, и волны увеличивают поверхность воды. Волны ниже уровня моря, чем на исходной карте, и не вызывают наводнений. На таких картах, как Сан-Франциско, где море мелководное, волны и приливы должны быть меньшей высоты, чтобы большие участки неигровой территории не превратились в сухой песок.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]","Частота волны","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]","Частота волны в день.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]","Высота прилива","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]","Tides are the biggest waves and they cause the sea to rise and fall along the shore. Tides can add sandy graphics along shorelines but the sand may not persist the entire time between low tide and high tide. Tides are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]","Классификация прилива","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]","Суточные периоды имеют один высокий и один низкий отлив в день. Полусуточные периоды имеют два высоких и два низких прилива в день.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]","Колебание","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]","A higher value makes waves stronger while a lower value makes waves weaker. Stronger waves reach farther into the map. Weak waves may disperse before reaching shore. Vanilla is 9950 Recommended 9980-9999. The actual value is 10000x less.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","Цикл очистки воды","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","This will increase the rate of evaporation by 1000x FOR THE WHOLE MAP for a short amount of time before returning to normal. For cleaning up water messes but USE AT YOUR OWN RISK! Lakes with an target elevation below the ground level are a safer way to remove water.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","Начать цикл очистки воды?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","Сбросить настройки Water Tool","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","При подтверждении сбросит настройки Water Tool.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","Сбросить настройки Water Tool?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","Сбросить настройки сезонных потоков","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","При подтверждении сбросит настройки сезонных потоков.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","Сбросить настройки сезонных потоков?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","Сбросить настройки волн и приливов","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","После подтверждения сбросит настройки волн и приливов.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","Сбросить настройки волн и приливов?","","","","","","","","","","","",""
"Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Diurnal]","Суточный","","","","","","","","","","","",""
"Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Semidiurnal]","Полусуточный","","","","","","","","","","","",""
"YY_WATER_FEATURES.Flow","Поток","","","","","","","","","","","",""
"YY_WATER_FEATURES.Depth","Глубина","","","","","","","","","","","",""
"YY_WATER_FEATURES.MaxDepth","Максимальная глубина","","","","","","","","","","","",""
"YY_WATER_FEATURES.Elevation","Высота","","","","","","","","","","","",""
"YY_WATER_FEATURES.MinElevation","Минимальная высота","","","","","","","","","","","",""
"YY_WATER_FEATURES.MaxElevation","Максимальная высота","","","","","","","","","","","",""
"YY_WATER_FEATURES.SnowAccumulation","Накопление снега","","","","","","","","","","","",""
"YY_WATER_FEATURES.OriginalFlow","Стандартный поток","","","","","","","","","","","",""
"YY_WATER_FEATURES.MinDepth","Минимальная глубина","","","","","","","","","","","",""
"YY_WATER_FEATURES.Radius","Радиус","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-down-arrow","Уменьшает скорость потока в ручьях. Уменьшает глубину или высоту в реках, морях и озерах. Уменьшает максимальную глубину для собирающих и удерживающих резервуаров.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-up-arrow","Увеличивает скорость потока в ручьях. Увеличивает глубину или высоту в реках, морях и озерах. Увеличивает максимальную глубину для собирающих и удерживающих резервуаров.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-down-arrow","Уменьшает радиус.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-up-arrow","Увеличивает радиус.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-down-arrow","Уменьшает минимальную глубину.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-up-arrow","Увеличивает минимальную глубину.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-rate-of-change","Изменяет скорость, с которой кнопки увеличения и уменьшения влияют на Скорость потока, Глубину и Высоту.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-rate-of-change","Изменяет скорость, с которой кнопки увеличения и уменьшения влияют на радиус.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-rate-of-change","Изменяет скорость, с которой кнопки увеличения и уменьшения влияют на минимальную глубину.","","","","","","","","","","","",""
"SubServices.NAME[WaterTool]","Water Tool","","","","","","","","","","","",""
"Assets.SUB_SERVICE_DESCRIPTION[WaterTool]","Water Tool позволяет вам добавлять и удалять источники воды с вашей карты.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Stream]","Поток - Источник воды с постоянной или переменной скоростью","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Stream]","Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.","","","","","","","","","","","",""
"Assets.NAME[WaterSource River]","Река - Источник реки на границе карты","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource River]","Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Sea]","Море - Источник морской воды на границе карты","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Sea]","Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Lake]","Озеро - Источник воды постоянной высоты","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Lake]","Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.","","","","","","","","","","","",""
"Assets.NAME[WaterSource DetentionBasin]","Удерживающее водохранилище","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource DetentionBasin]","Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.","","","","","","","","","","","",""
"Assets.NAME[WaterSource RetentionBasin]","Собирающее водохранилище","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource RetentionBasin]","Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation and a minimum water surface elevation. Right click to designate the maximum elevation. Left click to place within playable area. Hover over and right click to remove.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.PlaceNearBorder]","Реки должны быть размещены рядом с границей карты.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.RadiusTooSmall]","Радиус слишком маленький и был автоматически увеличен.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.RemoveWaterSource]","Нажмите правой кнопкой мыши, чтобы удалить источник воды.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.PlaceInsideBorder]","Этот источник воды должен быть помещен внутри игровой карты.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.MustTouchBorder]","Морские источники воды должны касаться границы карты.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.LockElevation]","Щелкните правой кнопкой мыши, чтобы указать высоту поверхности воды.","","","","","","","","","","","",""
"Options.GROUP:Experimental","Экспериментальные функции","","","","","","","","","","","",""
"Options.GROUP:Stable","Стабильные функции","","","","","","","","","","","",""
"Options.OPTION:Fluidness","Текучесть","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:Fluidness","Изменяет коэффициент текучести системы водоснабжения. Это должно изменить характеристики потока.","","","","","","","","","","","",""
"Editor.TOOL[Yenyang's Water Tool]","Yenyang's Water Tool","","","","","","","","","","","",""
"Options.OPTION:WaterToolSettingsAffectEditorSimulation","Настройки Water Tool влияют на симуляцию в редакторе","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:WaterToolSettingsAffectEditorSimulation","Позволяет настройкам на вкладке Water Tool влиять на симуляцию в редакторе, включая испарение, текучесть и цикл очистки воды.","","","","","","","","","","","",""
"Options.OPTION:SeasonalStreamsAffectEditorSimulation","Настройки сезонных потоков влияют на симуляцию в редакторе","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:SeasonalStreamsAffectEditorSimulation","Позволяет настройкам на вкладке Сезонные потоки влиять на симуляцию в редакторе и изменять скорость потока.","","","","","","","","","","","",""
"Options.OPTION:WavesAndTidesAffectEditorSimulation","Настройки волн и приливов влияют на симуляцию в редакторе","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:WavesAndTidesAffectEditorSimulation","Позволяет настройкам на вкладке Волны и приливы влиять на моделирование в редакторе, изменяя уровень моря и величину колебания.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.ElevationChange","Water Tool will change target elevations of existing water sources by hovering over existing water source, left clicking, holding, dragging and releasing at new elevation. Usually dragging out raises, and dragging in lowers, but it's really just releasing at the desired elevation. Keep the cursor within playable area for reliability. Right click to cancel.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.PlaceWaterSource","Water Tool размещает источники воды щелчком левой кнопки мыши и удаляет источники воды щелчком правой кнопки мыши.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.MoveWaterSource","Water Tool переместит существующие источники воды. Целевые значения высоты существующих источников воды не изменятся. Щелкните правой кнопкой мыши для отмены.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.RadiusChange","Water Tool изменит радиус источников воды. Правый щелчок мыши для отмены.","","","","","","","","","","","",""
"YY_WATER_FEATURES.ElevationChange","Изменение высоты","","","","","","","","","","","",""
"YY_WATER_FEATURES.PlaceWaterSource","Разместить источник воды","","","","","","","","","","","",""
"YY_WATER_FEATURES.MoveWaterSource","Переместить источник воды","","","","","","","","","","","",""
"YY_WATER_FEATURES.RadiusChange","Изменить радиус","","","","","","","","","","","",""
