"Options.SECTION[Water_Features.Water_Features.WaterFeaturesMod]","Water Features","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]","Strumienie sezonowe obejmują strumienie (zmodyfikowane źródła wody o stałym przepływie) i wiążą je z klimatem oraz pogodą na mapie. Np., jeżli twoja mapa zawiera suche lato, to w lecie ilość wody będzie się zmniejszała. Strumienie sezonowe same w sobie nie powinny powodować powodzi, ponieważ domyślna ilość wody w źródle na mapie jest traktowana jako maksymalna, chyba że ją zmienisz. Wszystkie aspekty są opcjonalne i można je regulować w ustawieniach moda.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]","Symuluj topnienie śniegu","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]","Symuluj gromadzenie się i topnienie śniegu. Topnienie śniegu nie jest związane obecnie z efektami wizualnymi. Ma to wpływ na źródła wody o stałym przepływie, zbiorniki retencyjnych i poldery.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]","Stały przepływ wody","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]","Stały przepływ wody ze strumieni (zmodyfikowane źródła wody o stałym przepływie)  bez wpływu pór roku lub pogody.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]","Sezonowość","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]","Przepływ wody strumieni (zmodyfikowane źródła wody o stałym przepływie) wzrośnie o ten procent w porze roku z najwyższymi średnimi opadami sezonowymi. Pozostałe pory roku będą proporcjonalne.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]","Efekt opadów deszczu","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]","Przepływ wody strumieni (zmodyfikowane źródła wody o stałym przepływie) wzrośnie o ten procent, gdy opady (deszcz) są maksymalne. Mniejsze opady są proporcjonalne.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]","Minimalny mnożnik","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]","Minimalny mnożnik ma zastosowanie w przepływie wody strumieni.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]","Maksymalny mnożnik","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]","Maksymalny mnożnik ma zastosowanie w przepływie wody strumieni.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]","Włącz fale i pływy","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]","Ta funkcja zależy od rodzaju mapy. Mapy ze źródłem wody morskiej i jednym wybrzeżem działają najlepiej. Celem funkcji fal jest wprawienie w ruch linii brzegowej i pojawienia się piasku na wybrzeżu. Lepszym sposobem na tworzenie plaż jest namalowanie ich przy pomocy malowania powierzchni. Fale zwiększają wielkość powierzchni wody. Pływy zdarzają się raz lub dwa razy dziennie. Fale i pływy są zawsze niższe niż oryginalny poziom wody i nie powodują powodzi.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]","Wysokość fal","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]","Fale są generowane na granicy mapy, gdzie znajduje się źródło wody morskiej. Po wygenerowaniu kierują się w stronę brzegu. Mapy niekoniecznie zostały zaprojektowane do tych fal, a fale zmieniają powierzchnię wody. Fale są niższe niż oryginalny poziom wody i nie powodują powodzi. Mapy takie jak San Francisco z płytkim morzem będą wymagały fal i pływów o mniejszych wysokościach, aby uniknąć sytuacji, w której duże niegrywalne obszary stają się pustynią.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]","Częstotliwość fal","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]","Częstotliwość fal na dzień.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]","Wysokość pływów","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]","Pływy to największe fale i powodują, że poziom morza się podnosi i opada. Pływy mogą sprawić, że wybrzeże stanie się piaszczyste, ale piasek może nie utrzymać się przez cały czas pomiędzy odpływem a przypływem. Pływy są niższe od oryginalnego poziomu morza i nie powodują powodzi. Mapy takie jak San Francisco z płytkim morzem będą wymagały fal i pływów o mniejszych wysokościach, aby uniknąć sytuacji, w której duże niegrywalne obszary stają się pustynią.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]","Rodzaje pływów","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]","Pływy dobowe mają jeden przypływ i jeden odpływ na dzień. Pływy półdobowe mają dwa przypływy i dwa odpływy na dzień.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]","Tłumienie","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]","Wyższa wartość sprawi, że fale będą silniejsze, a mniejsza wartość sprawi, że fale będą słabsze. Silniejsze fale docierają znacznie dalej w głąb lądu. Słabe fale mogą się rozproszyć przed dotarciem do brzegu. Domyślna wartość to 9950, a zalecana jest wartość od 9980 do 9999. Rzeczywista wartość jest o 10000 razy mniejsza.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","Cykl usuwania rozlewisk wody","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","Zwiększa przez krótki czas szybkość parowania wody o 1000 razy DLA CAŁEJ MAPY, zanim powróci do normy. Do usunięcia rozlewisk wody, UŻYAWJ NA WŁASNE RYZYKO! Jeziora o docelowej wysokości poniżej poziomu gruntu są bezpieczniejszym sposobem usuwania rozlewisk wody.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","Rozpocząć usuwanie rozlewisk wody?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","Zresetuj ustawienia narzędzia wody","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","Po potwierdzeniu zresetuje ustawienia narzędzia wody.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","Zresetować ustawienia narzędzia wody?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","Zresetuj ustawienia sezonowych strumieni","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","Po potwierdzeniu zresetuje ustawienia sezonowych strumieni.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","Zresetować ustawienia sezonowych strumieni?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","Zresetuj ustawienia fal i pływów","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","Po potwierdzeniu zresetuje ustawienia fal i pływów.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","Zresetować ustawienia fal i pływów?","","","","","","","","","","","",""
"Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Diurnal]","Dobowy","","","","","","","","","","","",""
"Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Semidiurnal]","Półdobowy","","","","","","","","","","","",""
"YY_WATER_FEATURES.Flow","Przepływ","","","","","","","","","","","",""
"YY_WATER_FEATURES.Depth","Głębokość","","","","","","","","","","","",""
"YY_WATER_FEATURES.MaxDepth","Maks. głębokość","","","","","","","","","","","",""
"YY_WATER_FEATURES.Elevation","Wysokość","","","","","","","","","","","",""
"YY_WATER_FEATURES.MinElevation","Min. wysokość","","","","","","","","","","","",""
"YY_WATER_FEATURES.MaxElevation","Maks. wysokość","","","","","","","","","","","",""
"YY_WATER_FEATURES.SnowAccumulation","Nagromadzenie śniegu","","","","","","","","","","","",""
"YY_WATER_FEATURES.OriginalFlow","Oryginalny przepływ","","","","","","","","","","","",""
"YY_WATER_FEATURES.MinDepth","Min. głębokość","","","","","","","","","","","",""
"YY_WATER_FEATURES.Radius","Promień","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-down-arrow","Zmniejsza przepływ wody strumieni. Zmniejsza głębokość lub wysokość, rzek, mórz i jezior. Zmniejsza maksymalną głębokość zbiorników retencyjnych i polderów.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-up-arrow","Zwiększa przepływ wody strumieni. Zwiększa głębokość lub wysokość, rzek, mórz i jezior. Zwiększa maksymalną głębokość zbiorników retencyjnych i polderów.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-down-arrow","Zmniejsza promień.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-up-arrow","Zwiększa promień.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-down-arrow","Zmniejsza minimalną głębokość.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-up-arrow","Zwiększa minimalną głębokość.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-rate-of-change","Zmienia intensywność przycisków zwiększenia i zmniejszenia dla przepływu, głębokości i wysokości.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-rate-of-change","Zmienia intensywność przycisków zwiększenia i zmniejszenia zmieniających promień.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-rate-of-change","Zmienia intensywność przycisków zwiększenia i zmniejszenia zmieniających minimalną głębokość.","","","","","","","","","","","",""
"SubServices.NAME[WaterTool]","Woda","","","","","","","","","","","",""
"Assets.SUB_SERVICE_DESCRIPTION[WaterTool]","Narzędzia wody pozwalają na dodanie i usuwanie źródeł wody na mapie.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Stream]","Strumień — źródło wody o stałym lub zmiennym przepływie wody","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Stream]","Emituje wodę w zależności od ustawień moda. Z wyłączonymi strumieniami sezonowymi, przepływ wody będzie stały. Z włączonymi strumieniami sezonowymi, przepływ wody będzie się różnić w zależności od pory roku, opadów, topnienia śniegu i ustawień. Kliknij lewym przyciskiem myszy, aby umieścić w obszarze rozgrywki. Usuń, klikając prawym przyciskiem myszy nad źródłem.","","","","","","","","","","","",""
"Assets.NAME[WaterSource River]","Rzeka — przygraniczne źródło wody","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource River]","Ma stały poziom wody i kontroluje wodę płynącą do lub z granicy. Gdy znajduje się w pobliżu granicy, źródło będzie przylegać do granicy. Kliknij prawym przyciskiem myszy, aby wyznaczyć wysokość źródła. Kliknij lewym przyciskiem myszy, aby umieścić. Usuń, klikając prawym przyciskiem myszy nad źródłem.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Sea]","Morze — przygraniczne źródło wody","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Sea]","Kontroluje wodę wpływającą i wypływającą z granicy, a najniższe morze kontroluje poziom morza. Gdy fale i pływy są wyłączone, utrzymuje stały poziom wody. Gdy fale i pływy są włączone, poziom wody podnosi się i opada poniżej oryginalnego poziomu morza. Kliknij prawym przyciskiem myszy, aby wyznaczyć wysokość źródła. Kliknij lewym przyciskiem myszy, aby umieścić, jeżli promień dotyka granicy mapy. Usuń, klikając prawym przyciskiem myszy nad źródłem.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Lake]","Jezioro — źródło wody o stałym poziomie","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Lake]","Szybko się napełnia, aż osiągnie pożądaną wysokość, po czym utrzymuje ten poziom. Jeśli docelowa wysokość jest poniżej poziomu gruntu, przyspiesza wchłanianie wody, szybciej niż parowanie. Kliknij prawym przyciskiem myszy, aby wyznaczyć wysokość źródła. Kliknij lewym przyciskiem myszy, aby umieścić w obszarze rozgrywki. Usuń, klikając prawym przyciskiem myszy nad źródłem.","","","","","","","","","","","",""
"Assets.NAME[WaterSource DetentionBasin]","Polder","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource DetentionBasin]","Niestandardowe źródło wody, które zwiększa się z ilością opadów i topnieniem śniegu oraz powoli opada przy suchej pogodzie. Mają maksymalny poziom wody, ale nie mają minimalnego poziomu wody. Kliknij prawym przyciskiem myszy, aby wyznaczyć maksymalną wysokość źródła. Kliknij lewym przyciskiem myszy, aby umieścić w obszarze rozgrywki. Usuń, klikając prawym przyciskiem myszy nad źródłem.","","","","","","","","","","","",""
"Assets.NAME[WaterSource RetentionBasin]","Zbiornik retencyjny","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource RetentionBasin]","Niestandardowe źródło wody, które zwiększa się z ilością opadów i topnieniem śniegu oraz powoli opada przy suchej pogodzie. Mają maksymalny i minimalny poziomu wody. Kliknij prawym przyciskiem myszy, aby wyznaczyć maksymalną wysokość źródła. Kliknij lewym przyciskiem myszy, aby umieścić w obszarze rozgrywki. Usuń, klikając prawym przyciskiem myszy nad źródłem.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.PlaceNearBorder]","Rzeki muszą być umieszczone na granicy mapy.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.RadiusTooSmall]","Promień jest zbyt mały i został automatycznie zwiększony.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.RemoveWaterSource]","Kliknij prawym przyciskiem myszy, aby usunąć źródło wody.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.PlaceInsideBorder]","To źródło wody musi być umieszczone wewnątrz obszaru rozgrywki.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.MustTouchBorder]","Źródła wody morskiej muszą dotykać granicy mapy.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.LockElevation]","Kliknij prawym przyciskiem myszy, aby wyznaczyć poziom wody.","","","","","","","","","","","",""
"Options.GROUP:Experimental","Eksperymentalne","","","","","","","","","","","",""
"Options.GROUP:Stable","Stabilne","","","","","","","","","","","",""
"Options.OPTION:Fluidness","Płynność","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:Fluidness","Zmień współczynnik płynności wody. Powinno to zmienić właściwości przepływ wody.","","","","","","","","","","","",""
"Editor.TOOL[Yenyang's Water Tool]","Narzędzie — woda Yenyanga","","","","","","","","","","","",""
"Options.OPTION:WaterToolSettingsAffectEditorSimulation","Ustawienia narzędzia — woda wpływa na symulację w edytorze","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:WaterToolSettingsAffectEditorSimulation","Pozwala na działanie ustawień z zakładki narzędzie — woda w symulacji edytora, takich jak parowanie, płynność i usuwanie rozlewisk wody.","","","","","","","","","","","",""
"Options.OPTION:SeasonalStreamsAffectEditorSimulation","Ustawienia strumieni sezonowych wpływają na symulację w edytorze","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:SeasonalStreamsAffectEditorSimulation","Pozwala na działanie ustawień z zakładki strumienie sezonowe w symulacji edytora i zmieniać przepływ wody strumieni.","","","","","","","","","","","",""
"Options.OPTION:WavesAndTidesAffectEditorSimulation","Ustawienia fale i pływy wpływa na symulację w edytorze","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:WavesAndTidesAffectEditorSimulation","Pozwala na działanie ustawień z zakładki fale i pływy w symulacji edytora zmieniając oscylacje poziomu morza i wartość tłumienia.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.ElevationChange","Narzędzie — woda zmieni wysokość docelową istniejących źródeł wody przez najechanie na nie, kliknięcie lewego przycisku myszy, przytrzymanie, przeciąganie i puszczenie na nowej wysokości. Zwykle przeciąganie z podnosi, a przeciąganie do opuszcza. Trzymaj kursor w obszarze rozgrywki dla niezawodności. Kliknij prawym przyciskiem myszy, aby anulować.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.PlaceWaterSource","Narzędzie — woda umieści źródła wody przez kliknięcie lewym przyciskiem myszy, a usunie źródła wody przez kliknięcie prawym przyciskiem myszy.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.MoveWaterSource","Narzędzie — woda przesunie istniejące źródła wody. Docelowo wysokość istniejących źródeł wody nie ulegnie zmiany. Kliknij prawym przyciskiem myszy, aby anulować.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.RadiusChange","Narzędzie — woda zmieni promień istniejących źródeł wody. Kliknij prawym przyciskiem myszy, aby anulować.","","","","","","","","","","","",""
"YY_WATER_FEATURES.ElevationChange","Zmiana wysokości","","","","","","","","","","","",""
"YY_WATER_FEATURES.PlaceWaterSource","Umieścić źródło wody","","","","","","","","","","","",""
"YY_WATER_FEATURES.MoveWaterSource","Przesuń źródło wody","","","","","","","","","","","",""
"YY_WATER_FEATURES.RadiusChange","Zmień promień","","","","","","","","","","","",""
