"Options.SECTION[Water_Features.Water_Features.WaterFeaturesMod]","Water Features","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]","Permite tentar criar uma fonte de água com um raio menor que 5m. Nem sempre funciona, mas será aumentado para um raio que funcione.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]","Taxa de evaporação","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]","Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]","Enable Seasonal Streams","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]","Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]","Simulate Snow Melt","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]","Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]","Constant Flow Rate","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]","Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]","Seasonality","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]","Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]","Stormwater Effects","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]","Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]","Minimum Multiplier","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]","Minimum multiplier applied to stream flowrates.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]","Maximum Multiplier","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]","Maximum multiplier applied to stream flowrates.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]","Enable Waves and Tides","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]","This feature is dependent on map design. Maps with a sea water source and a single shoreline work best. The point of the waves feature is to make the shore move in and out and make sand along the shoreline. A better way to make beaches is to just paint them with surface painter instead. Waves exacerbate the magnitude of the water surface. Tides happen once or twice a day. Waves and tides are always lower than the original sea level and do not cause flooding.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]","Wave Height","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]","Waves are generated at the map boundary where there is a Sea water source. Once generated they head towards shore. Maps were not necessarily designed for these waves, and the waves exacerbate the water surface. Waves are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]","Wave Frequency","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]","Frequency for waves per day.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]","Tide Height","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]","Tides are the biggest waves and they cause the sea to rise and fall along the shore. Tides can add sandy graphics along shorelines but the sand may not persist the entire time between low tide and high tide. Tides are lower than the sea level from the original map and do not cause flooding. Maps such as San Francisco with shallow seas will need waves and tides with smaller heights to avoid large swathes of non-playable area becoming dry sand.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]","Tide Classification","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]","Diurnal tides have one high and one low tide per day. Semidiurnal has two high tides and two low tides per day.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]","Damping","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]","A higher value makes waves stronger while a lower value makes waves weaker. Stronger waves reach farther into the map. Weak waves may disperse before reaching shore. Vanilla is 9950 Recommended 9980-9999. The actual value is 10000x less.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","Water Clean Up Cycle","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","This will increase the rate of evaporation by 1000x FOR THE WHOLE MAP for a short amount of time before returning to normal. For cleaning up water messes but USE AT YOUR OWN RISK! Lakes with an target elevation below the ground level are a safer way to remove water.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","Start Water Clean Up Cycle?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","Reset Water Tool Settings","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","On confirmation, resets Water Tool Settings.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","Reset Water Tool Settings?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","Reset Seasonal Streams Settings","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","On confirmation, resets Seasonal Streams Settings.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","Reset Seasonal Streams Settings?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","Reset Waves and Tides Settings","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","On confirmation, resets Waves and Tides Settings.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","Reset Waves and Tides Settings?","","","","","","","","","","","",""
"Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Diurnal]","Diurna","","","","","","","","","","","",""
"Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Semidiurnal]","Semidiurna","","","","","","","","","","","",""
"YY_WATER_FEATURES.Flow","Fluxo","","","","","","","","","","","",""
"YY_WATER_FEATURES.Depth","Profundidade","","","","","","","","","","","",""
"YY_WATER_FEATURES.MaxDepth","Profundidade máxima","","","","","","","","","","","",""
"YY_WATER_FEATURES.Elevation","Elevação","","","","","","","","","","","",""
"YY_WATER_FEATURES.MinElevation","Elevação mínima","","","","","","","","","","","",""
"YY_WATER_FEATURES.MaxElevation","Elevação máxima","","","","","","","","","","","",""
"YY_WATER_FEATURES.SnowAccumulation","Acumulação de neve","","","","","","","","","","","",""
"YY_WATER_FEATURES.OriginalFlow","Fluxo original","","","","","","","","","","","",""
"YY_WATER_FEATURES.MinDepth","Profundidade mínima","","","","","","","","","","","",""
"YY_WATER_FEATURES.Radius","Raio","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-down-arrow","Reduz o fluxo para os riachos. Diminui a profundidade ou a elevação para rios, mares e lagos. Reduz a profundidade máxima para bacias de retenção e detenção.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-up-arrow","Aumenta o fluxo para os riachos. Aumenta a profundidade ou a elevação para rios, mares e lagos. Aumenta a profundidade máxima para bacias de retenção e detenção.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-down-arrow","Reduz o raio.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-up-arrow","Aumenta o raio.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-down-arrow","Reduz a profundidade mínima.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-up-arrow","Aumenta a profundidade mínima.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-rate-of-change","Altera a taxa na qual os botões de aumento e diminuição funcionam para fluxo, profundidade e elevação.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-rate-of-change","Altera a taxa na qual os botões de aumento e diminuição funcionam para raio.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-rate-of-change","Altera a taxa na qual os botões de aumento e diminuição funcionam para a profundidade mínima.","","","","","","","","","","","",""
"SubServices.NAME[WaterTool]","Ferramenta de água","","","","","","","","","","","",""
"Assets.SUB_SERVICE_DESCRIPTION[WaterTool]","A ferramenta de água permite-te adicionar e remover fontes de água do teu mapa.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Stream]","Riacho - fonte de água de taxa constante ou variável","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Stream]","Emite água dependendo das definições deste mod. Com os riachos sazonais desativados, a taxa de fluxo será constante. Com os riachos sazonais ativados, a taxa de fluxo variará conforme a estação, a precipitação e o derretimento da neve, dependendo das tuas definições. Clica com o botão esquerdo para colocar dentro da área jogável. Passa o cursor sobre e clica com o botão direito para remover.","","","","","","","","","","","",""
"Assets.NAME[WaterSource River]","Rio - fonte de água de fronteira de rio","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource River]","Tem um nível constante e controla a água que flui para dentro ou para fora da fronteira. Enquanto estiver perto da fronteira, a fonte será fixada à fronteira. Clica com o botão direito para designar a elevação alvo. Clica com o botão esquerdo para colocar. Passa o cursor sobre e clica com o botão direito para remover.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Sea]","Mar - fonte de água de fronteira de mar","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Sea]","Controla a água que flui para dentro ou para fora da fronteira, e o mar mais baixo controla o nível do mar. Com ondas e marés desativados, manterá um nível constante. Com ondas e marés ativados, o nível do mar sobe e desce abaixo do nível original do mar. Clica com o botão direito para designar a elevação. Clica com o botão esquerdo para colocar se o raio tocar na fronteira. Passa o cursor sobre e clica com o botão direito para remover.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Lake]","Lago - fonte de água de nível constante","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Lake]","Enche rapidamente até atingir o nível desejado e depois mantém esse nível. Se tiver uma elevação alvo abaixo do nível do solo, pode drenar a água mais rapidamente do que a evaporação. Clica com o botão direito para designar a elevação alvo. Clica com o botão esquerdo para colocar dentro da área jogável. Passa o cursor sobre e clica com o botão direito para remover.","","","","","","","","","","","",""
"Assets.NAME[WaterSource DetentionBasin]","Bacia de detenção","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource DetentionBasin]","Fonte de água personalizada que sobe com a precipitação e o derretimento da neve e drena lentamente quando o clima está seco. Têm uma elevação máxima da superfície da água, mas sem elevação mínima. Clica com o botão direito para designar a elevação máxima. Clica com o botão esquerdo para colocar dentro da área jogável. Passa o cursor sobre e clica com o botão direito para remover.","","","","","","","","","","","",""
"Assets.NAME[WaterSource RetentionBasin]","Bacia de retenção","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource RetentionBasin]","Fonte de água personalizada que sobe com a precipitação e o derretimento da neve e drena lentamente quando o clima está seco. Têm uma elevação máxima da superfície da água e uma elevação mínima. Clica com o botão direito para designar a elevação máxima. Clica com o botão esquerdo para colocar dentro da área jogável. Passa o cursor sobre e clica com o botão direito para remover.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.PlaceNearBorder]","Os rios devem ser colocados perto da fronteira do mapa.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.RadiusTooSmall]","O raio é demasiado pequeno e foi aumentado automaticamente.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.RemoveWaterSource]","Clica com o botão direito para remover a fonte de água.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.PlaceInsideBorder]","Esta fonte de água deve ser colocada dentro do mapa jogável.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.MustTouchBorder]","As fontes de água do mar devem tocar na fronteira do mapa.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.LockElevation]","Clica com o botão direito para designar a elevação da superfície da água.","","","","","","","","","","","",""
"Options.GROUP:Experimental","Experimental","","","","","","","","","","","",""
"Options.GROUP:Stable","Estável","","","","","","","","","","","",""
"Options.OPTION:Fluidness","Fluidez","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:Fluidness","Altera o fator de fluidez do sistema de água. Isso deve alterar as características do fluxo. Pode criar pequenas ondas, causar inundações ou causar instabilidades e picos no sistema de água.","","","","","","","","","","","",""
"Editor.TOOL[Yenyang's Water Tool]","Ferramenta de água do Yenyang","","","","","","","","","","","",""
"Options.OPTION:WaterToolSettingsAffectEditorSimulation","Definições da ferramenta de água afetam a simulação do editor","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:WaterToolSettingsAffectEditorSimulation","Permite que as definições na aba ferramenta de água afetem a simulação do editor, como evaporação, fluidez e ciclo de limpeza de água.","","","","","","","","","","","",""
"Options.OPTION:SeasonalStreamsAffectEditorSimulation","Definições de riachos sazonais afetam a simulação do editor","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:SeasonalStreamsAffectEditorSimulation","Permite que as definições na aba de riachos sazonais afetem a simulação do editor e alterem as taxas de fluxo dos riachos.","","","","","","","","","","","",""
"Options.OPTION:WavesAndTidesAffectEditorSimulation","Definições de ondas e marés afetam a simulação do editor","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:WavesAndTidesAffectEditorSimulation","Permite que as definições na aba de ondas e marés afetem a simulação do editor, oscilando o nível do mar e alterando o valor de amortecimento.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.ElevationChange","A ferramenta de água mudará as elevações alvo das fontes de água existentes passando o cursor sobre uma fonte de água existente, clicando com o botão esquerdo, segurando, arrastando e soltando na nova elevação. Normalmente, arrastar para fora aumenta, e arrastar para dentro diminui, mas, na verdade, só está a soltar na elevação desejada. Mantém o cursor dentro da área jogável para maior confiabilidade. Clica com o botão direito para cancelar.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.PlaceWaterSource","A ferramenta de água colocará fontes de água com o botão esquerdo e removerá fontes de água com o botão direito.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.MoveWaterSource","A ferramenta de água moverá fontes de água existentes. As elevações alvo das fontes de água existentes não mudarão. Clica com o botão direito para cancelar.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.RadiusChange","A ferramenta de água mudará o raio das fontes de água. Clica com o botão direito para cancelar.","","","","","","","","","","","",""
"YY_WATER_FEATURES.ElevationChange","Mudança de elevação","","","","","","","","","","","",""
"YY_WATER_FEATURES.PlaceWaterSource","Colocar fonte de água","","","","","","","","","","","",""
"YY_WATER_FEATURES.MoveWaterSource","Mover fonte de água","","","","","","","","","","","",""
"YY_WATER_FEATURES.RadiusChange","Mudar raio","","","","","","","","","","","",""
