"Options.SECTION[Water_Features.Water_Features.WaterFeaturesMod]","Water Features","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]","Nous vous conseillons de laisser se paramètre par défaut, sauf si vous utilisez les bassins de détention ou de rétention. Le taux d'évaporation est 1000x plus petit, mais cela vous donne le contrôle sur le taux. C'est un paramètre global. Vous aurez peut-être besoin de balancer et d'augmenter le débit des sources d'eau une fois que vous aurez modifié le taux.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]","Activer la crue des eaux selon les saisons","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]","Les flux saisonniers prennent les flux (sources d'eau à débit constant modifié) et les relient au climat et à la météo pour la carte. Par exemple, si votre carte présente un été sec, ces sources d’eau diminueront au cours de l’été. Les cours d'eau saisonniers en eux-mêmes ne devraient pas provoquer d'inondations car ils traitent la quantité d'eau par défaut de la carte comme un maximum, à moins que vous ne la modifiiez. Tous les aspects sont facultatifs et réglables dans les paramètres du mode.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]","Simuler la fonte des neiges","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]","Simuler l’accumulation de neige et la fonte des neiges. La fonte des neiges n'est actuellement pas liée aux visuels de la neige. Cela affecte les sources d’eau à débit constant, les bassins de détention et de rétention.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]","Taux du débit constant","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]","Débit constant des cours d'eau (sources d'eau à débit constant modifié), non affecté par la saison ou les conditions météorologiques.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]","Saisonnalité","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]","Les débits des cours d’eau (sources d’eau à débit constant modifié) vont augmenter de ce pourcentage durant la saison avec les précipitations saisonnières moyennes les plus élevées. Les autres saisons seront proportionnelles.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]","Effet des tempêtes sur l'eau","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]","Les débits des cours d’eau (sources d’eau à débit constant modifié) vont augmenter de ce pourcentage lorsque les précipitations actuelles (pluie) seront à leur maximum. Moins de précipitations est proportionnelle.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]","Multiplicateur minimum","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]","Le multiplicateur minimum est appliqué au débit du cours d'eau.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]","Multiplicateur Maximum","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]","Le multiplicateur maximum est appliqué au débit du cours d'eau.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]","Activer les Vagues et Marées","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]","Cette fonction dépend de la conception de la carte. Les cartes avec une source d'eau de mer et un seul rivage fonctionnent le mieux. Le but des vagues est de faire bouger la côte et de faire du sable le long du littoral. Une meilleure façon de faire des plages est de les peindre avec un peintre de surface à la place. Les vagues exacerbent l'ampleur de la surface d'eau. Les marées se produisent une ou deux fois par jour. Les vagues et les marées sont toujours inférieures au niveau de la mer d'origine et ne causent pas d'inondations.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]","Hauteur de la vague","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveHeight]","Les vagues sont générées au limites de la carte ou une source d'eau de type ""mer"" est présente. Une fois générées elles se dirigent vers la rive. Les cartes ne sont pas nécessairement conçues pour ces vagues, et les vagues peuvent dépasser la surface de l'eau. Les vagues sont plus basses que le niveau de la mer de la carte originale et ne cause pas d'innondation. Les cartes tel que San Francisco avec une mer peu profonde vont avoir besoins de vagues et de marées plus basse pour éviter de larges andains de zones non jouable devenant du sable sec.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]","Fréquence des vagues","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaveFrequency]","Fréquence des vagues par jour.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]","Hauteur de la marée","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideHeight]","Les marées sont les plus grandes vagues et elles font que la mer se lève et tombe le long du rivage. Les marées peuvent ajouter des graphismes sablonneux le long des rivages, mais le sable peut ne pas persister tout le temps entre marée basse et marée haute. Les marées sont inférieures au niveau de la mer de la carte d'origine et ne causent pas d'inondations. Des cartes telles que San Francisco avec des mers peu profondes auront besoin de vagues et de marées avec des hauteurs plus petites pour éviter que de grandes étendues de zones non jouables ne deviennent des plages de sable sec.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]","Classification de la marée","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TideClassification]","Les marées diurnes ont une phase haute et basse par jour. Les marées semi-diurnes ont deux phases hautes et deux phases basses.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]","Amortissement","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.Damping]","Une valeur plus haute augmente la force des vagues et une valeur plus basse diminue la force des vagues. Les vagues plus fortes vont atteindre plus loin dans la carte. Les vagues moins fortes risque de se dissiper avant d'atteindre la rive. En ""vanilla"" la valeur est de 9950, la valeur recommandé est entre 9980 et 9999. La valeur réelle est 10000x moins.","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","Cycle de nettoyage de l'eau","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","Cela augmentera le taux d'évaporation de 1000x POUR LA TOTALITÉ DE VOTRE CARTE pour une courte période avant de revenir à la normale. Pour nettoyer les dégâts d'eau, mais UTILISEZ À VOS PROPRES RISQUES! Les lacs avec une altitude cible en dessous du niveau du sol sont un moyen plus sûr d'évacuer l'eau.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.WaterCleanUpCycleButton]","Démarrer le cycle de nettoyage de l'eau ?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","Réinitialiser les paramètres de l'outil Eau","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","Lorsque confirmé, réinitialise les paramètres de l'outil d'eau.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWaterToolGroupButton]","Réinitialiser les paramètres de l'outil Eau ?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","Réinitialiser les paramètres de ruisseaux saisonniers","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","Lorsque confirmé, réinitialise les paramètres de la variation de l'eau selon les saisons.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetSeasonalStreamsSettingsButton]","Réinitialiser les paramètres de ruisseaux saisonniers ?","","","","","","","","","","","",""
"Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","Réinitialiser les paramètres des vagues et des marées","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","Lors de la confirmation, réinitialise les paramètres des vagues et des marées.","","","","","","","","","","","",""
"Options.WARNING[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ResetWavesAndTidesSettingsButton]","Réinitialiser les paramètres des vagues et des marées ?","","","","","","","","","","","",""
"Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Diurnal]","Diurne","","","","","","","","","","","",""
"Options.Water_Features.Water_Features.WaterFeaturesMod.TIDECLASSIFICATIONYYTAW[Semidiurnal]","Semi-diurne","","","","","","","","","","","",""
"YY_WATER_FEATURES.Flow","Débit","","","","","","","","","","","",""
"YY_WATER_FEATURES.Depth","Profondeur","","","","","","","","","","","",""
"YY_WATER_FEATURES.MaxDepth","Profondeur Maximum","","","","","","","","","","","",""
"YY_WATER_FEATURES.Elevation","Élévation","","","","","","","","","","","",""
"YY_WATER_FEATURES.MinElevation","Élévation Minimale","","","","","","","","","","","",""
"YY_WATER_FEATURES.MaxElevation","Élévation Maximale","","","","","","","","","","","",""
"YY_WATER_FEATURES.SnowAccumulation","Accumulation de neige","","","","","","","","","","","",""
"YY_WATER_FEATURES.OriginalFlow","Débit original","","","","","","","","","","","",""
"YY_WATER_FEATURES.MinDepth","Profondeur Minimum","","","","","","","","","","","",""
"YY_WATER_FEATURES.Radius","Rayon","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-down-arrow","Réduire le débit des ruisseaux. Diminuer la profondeur ou l'élévation pour les rivières, mer et lacs. Réduire la profondeur maximale des bassins de rétention et de détention.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-up-arrow","Augmente le débit des ruisseaux. Augmente la profondeur ou l'élévation des rivières, des mers et des lacs. Augmente la profondeur maximale des bassins de rétention et de détention.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-down-arrow","Réduit le rayon.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-up-arrow","Augmente le rayon.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-down-arrow","Réduit la profondeur minimale.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-up-arrow","Augmenter la profondeur minimale.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.amount-rate-of-change","Modifie la vitesse dans laquelle les boutons d'augmentation et de diminution fonctionnent pour le courant, la profondeur et L'Élévation de l'eau.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.radius-rate-of-change","Modifie le taux d'augmentation et de diminution des boutons pour le rayon.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.min-depth-rate-of-change","Modifie le taux d'augmentation et de diminution des boutons pour le rayon.","","","","","","","","","","","",""
"SubServices.NAME[WaterTool]","Outils pour l'eau","","","","","","","","","","","",""
"Assets.SUB_SERVICE_DESCRIPTION[WaterTool]","L'outil d'eau vous permet d'ajouter et de retirer des sources d'eau de votre carte.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Stream]","Flux - Source d'eau constante ou à débit variable","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Stream]","Émet de l'eau selon les paramètres du mod. Lorsque les cours d'eau saisonniers sont désactivés, le débit sera constant. Avec les cours d'eau saisonniers activés, le débit, les précipitations et la fonte de la neige varie selon la saison. Ils sont modifiables dans vos paramètres. Clic gauche pour placer dans la zone de jeu. Survolez et faites un clic droit pour retirer.","","","","","","","","","","","",""
"Assets.NAME[WaterSource River]","Rivière - Source d'eau de rivière au limites de la carte","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource River]","A un niveau constant et contrôle l'eau coulant à l'intérieur ou à l'extérieur de la limite de la carte. Lorsque proche de la limite de la carte, la source va s'accrocher à la limite de la carte. Clic droit pour désigner l'altitude cible. Clic gauche pour placer. Survolez et faites un clic droit pour enlever.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Sea]","Mer - Source d'eau de la mer aux limites de la carte","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Sea]","Contrôle l'eau se dirigeant à l'intérieur ou à l'extérieur de la limite de la carte et le niveau de la mer est contrôlé par le niveau de la mer le plus bas. Avec la désactivation des vagues et des marées, le niveau sera maintenu. Avec les vagues et les marées activées, le niveau de la mer augmente et retombe sous le niveau de la mer d'origine. Clic droit pour désigner l'élévation. Si le rayon touche une frontière faites clic gauche pour le placer. Survolez et faites un clic droit pour l'enlever.","","","","","","","","","","","",""
"Assets.NAME[WaterSource Lake]","Lac - Source d'eau de niveau constant","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource Lake]","Remplit rapidement jusqu'à ce qu'il atteigne le niveau désiré, puis maintient ce niveau. Si il a une altitude cible en dessous du niveau du sol, l'eau peut se drainer plus rapidement que l'évaporation. Clic droit pour désigner l'altitude cible. Clic gauche pour placer dans la zone jouable. Survolez et faites un clic droit pour la retirer.","","","","","","","","","","","",""
"Assets.NAME[WaterSource DetentionBasin]","Bassin de détention","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource DetentionBasin]","Une source d’eau moddé s’élève avec les précipitations et la fonte de la neige et se draine lentement lorsque la météo est plus sec. Ils ont une élévation maximale de surface d'eau, mais aucune élévation minimale de surface de l'eau. Clic droit pour désigner l'altitude maximale. Clic gauche pour placer dans la zone jouable. Survolez et faites un clic droit pour la supprimer.","","","","","","","","","","","",""
"Assets.NAME[WaterSource RetentionBasin]","Bassin de rétention","","","","","","","","","","","",""
"Assets.DESCRIPTION[WaterSource RetentionBasin]","Une source d’eau moddé s’élève avec les précipitations et la fonte de la neige et se draine lentement lorsque la météo est plus sec. Ils ont une élévation maximale de surface d'eau et une élévation minimale de surface de l'eau. Clic droit pour désigner l'altitude maximale. Clic gauche pour placer dans la zone jouable. Survolez et faites un clic droit pour la supprimer.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.PlaceNearBorder]","Les rivières doivent être placées près des bordures de la carte.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.RadiusTooSmall]","Le rayon est trop petit. Il a été augmenté automatiquement.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.RemoveWaterSource]","Clique droit de la souris pour supprimer la source d'eau.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.PlaceInsideBorder]","Cette source d'eau doit être placé à l'intérieur des limites jouables.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.MustTouchBorder]","La source d'eau de la mer doit toucher les bordures de la carte.","","","","","","","","","","","",""
"Tooltip.LABEL[YY.WT.LockElevation]","Cliquez avec le bouton droit pour désigner l'altitude de la surface d'eau.","","","","","","","","","","","",""
"Options.GROUP:Experimental","Expérimental","","","","","","","","","","","",""
"Options.GROUP:Stable","Stable","","","","","","","","","","","",""
"Options.OPTION:Fluidness","Fluide","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:Fluidness","Modifier le facteur de fluidité du système d'eau va modifier les caractéristiques de l'écoulement.","","","","","","","","","","","",""
"Editor.TOOL[Yenyang's Water Tool]","Yenyang's Water Tool","","","","","","","","","","","",""
"Options.OPTION:WaterToolSettingsAffectEditorSimulation","Les paramètres de l'outil d'eau affectent la simulation de l'éditeur","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:WaterToolSettingsAffectEditorSimulation","Permet aux paramètres de l'onglet Outil d'eau d'affecter la simulation de l'éditeur tels que l'évaporation, la fluidité et le cycle de nettoyage de l'eau.","","","","","","","","","","","",""
"Options.OPTION:SeasonalStreamsAffectEditorSimulation","Les paramètres de flux saisonniers affectent la simulation de l'éditeur","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:SeasonalStreamsAffectEditorSimulation","Permet aux paramètres de débit d'eau saisonniers d'affecter la simulation de l'éditeur et de modifier le débit d'eau des ruisseaux.","","","","","","","","","","","",""
"Options.OPTION:WavesAndTidesAffectEditorSimulation","Les paramètres des vagues et des marées affectent la simulation de l'éditeur","","","","","","","","","","","",""
"Options.OPTION_DESCRIPTION:WavesAndTidesAffectEditorSimulation","Permet aux paramètres de l'onglet Vagues et Marées d'affecter la simulation de l'éditeur en oscillant le niveau de la mer et en modifiant la valeur de l'amortissement.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.ElevationChange","L’outil d'eau modifiera les altitudes cibles des sources d’eau existantes. Pour ce faire, il faut survoler la source d’eau existante, faire un clic gauche, le maintenir et traîner et relâcher à une nouvelle altitude. Habituellement trainer vers l'extérieur augmente l'élévation et trainer vers l'intérieur diminue l'élévation, mais c'est vraiment juste de relacher à l'altitude souhaitée. Gardez le curseur dans la zone jouable pour être précis. Faites un clic droit pour annuler.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.PlaceWaterSource","Pour placer une source d'eau avec l’outil d'eau il faut faire un clic gauche et un clic droit pour les retirer.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.MoveWaterSource","L'outil d'eau déplacera les sources d'eau existantes. Les altitudes ciblées des sources d'eau existantes ne changeront pas. Faites un clic droit pour annuler.","","","","","","","","","","","",""
"YY_WATER_FEATURES_DESCRIPTION.RadiusChange","L'outil d'eau va changer le rayon des sources d'eau. Faites un clic droit pour annuler.","","","","","","","","","","","",""
"YY_WATER_FEATURES.ElevationChange","Altitude Visée","","","","","","","","","","","",""
"YY_WATER_FEATURES.PlaceWaterSource","Placer une source d'eau","","","","","","","","","","","",""
"YY_WATER_FEATURES.MoveWaterSource","Déplacer la source d’eau","","","","","","","","","","","",""
"YY_WATER_FEATURES.RadiusChange","Changer le rayon","","","","","","","","","","","",""
